TransactionID,Transaction
Trans1,"A Beginner’sGuide, Java: The Complete Reference, JavaFor Dummies, Android Programming: The Big Nerd Ranch"
Trans2,"A Beginner’sGuide, Java: The Complete Reference, JavaFor Dummies"
Trans3,"A Beginner’sGuide, Java: The Complete Reference, JavaFor Dummies, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition"
Trans4,"Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition , Beginning Programming with Java"
Trans5,"Android Programming: The Big Nerd Ranch, Beginning Programming with Java, Java 8 Pocket Guide"
Trans6,"A Beginner’sGuide, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition"
Trans7,"A Beginner’sGuide, Head First Java 2nd Edition , Beginning Programming with Java"
Trans8,"Java: The Complete Reference, JavaFor Dummies, Android Programming: The Big Nerd Ranch"
Trans9,"JavaFor Dummies, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition , Beginning Programming with Java"
Trans10,"Beginning Programming with Java, Java 8 Pocket Guide, C++ Programming in Easy Steps"
Trans11,"A Beginner’sGuide, Java: The Complete Reference,JavaFor Dummies, Android Programming: The Big Nerd Ranch"
Trans12,"A Beginner’sGuide, Java: The Complete Reference, JavaFor Dummies, HTML and CSS: Design and Build Websites"
Trans13,"A Beginner’sGuide, Java: The Complete Reference, JavaFor Dummies, Java 8 Pocket Guide, HTML and CSS: Design and Build Websites"
Trans14,"JavaFor Dummies, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition"
Trans15,"JavaFor Dummies, Android Programming: The Big Nerd Ranch"
Trans16,"A Beginner’sGuide, Java: The Complete Reference, JavaFor Dummies, Android Programming: The Big Nerd Ranch"
Trans17,"A Beginner’sGuide, Java: The Complete Reference, JavaFor Dummies, Android Programming: The Big Nerd Ranch"
Trans18,"Head First Java 2nd Edition ,Beginning Programming with Java, Java 8 Pocket Guide"
Trans19,"Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition"
Trans20,"A Beginner’sGuide, Java: The Complete Reference, JavaFor Dummies"
