TransactionID,Transaction
Trans1,"Desk Top, Printer, Flash Drive, Microsoft Office, Speakers, Anti-Virus"
Trans2,"Lap Top, Flash Drive, Microsoft Office, Lap Top Case, Anti-Virus"
Trans3,"Lap Top, Printer, Flash Drive, Microsoft Office, Anti-Virus, Lap Top Case, External Hard-Drive"
Trans4,"Lap Top, Printer, Flash Drive, Anti-Virus, External Hard-Drive, Lap Top Case"
Trans5,"Lap Top, Flash Drive, Lap Top Case, Anti-Virus"
Trans6,"Lap Top, Printer, Flash Drive, Microsoft Office"
Trans7,"Desk Top, Printer, Flash Drive, Microsoft Office"
Trans8,"Lap Top, External Hard-Drive, Anti-Virus"
Trans9,"Desk Top, Printer, Flash Drive, Microsoft Office, Lap Top Case, Anti-Virus, Speakers, External Hard-Drive"
Trans10,"Digital Camera , Lap Top, Desk Top, Printer, Flash Drive, Microsoft Office, Lap Top Case, Anti-Virus, External Hard-Drive, Speakers"
Trans11,"Lap Top, Desk Top, Lap Top Case, External Hard-Drive, Speakers, Anti-Virus"
Trans12,"Digital Camera , Lap Top, Lap Top Case, External Hard-Drive, Anti-Virus, Speakers"
Trans13,"Digital Camera , Speakers"
Trans14,"Digital Camera , Desk Top, Printer, Flash Drive, Microsoft Office"
Trans15,"Printer, Flash Drive, Microsoft Office, Anti-Virus, Lap Top Case, Speakers, External Hard-Drive"
Trans16,"Digital Camera, Flash Drive, Microsoft Office, Anti-Virus, Lap Top Case, External Hard-Drive, Speakers"
Trans17,"Digital Camera , Lap Top, Lap Top Case"
Trans18,"Digital Camera , Lap Top Case, Speakers"
Trans19,"Digital Camera , Lap Top, Printer, Flash Drive, Microsoft Office, Speakers, Lap Top Case, Anti-Virus"
Trans20,"Digital Camera , Lap Top, Speakers, Anti-Virus, Lap Top Case"
