TransactionID,Transaction
Trans1,"ink,pen, cheese, bag"
Trans2,"milk, pen, juice, cheese, eggs"
Trans3,"milk, juice, eggs"
Trans4,"juice, milk, cheese, eggs"
Trans5,"ink, pen, cheese, bag"
Trans6,"milk, pen, juice, cheese, eggs"
Trans7,"milk, bread, sugar, napkins"
Trans8,"milk, eggs, sugar"
Trans9,"bag, milk, cheese, eggs"
Trans10,"napkins, milk, sugar, cheese"
Trans11,"cheese, sugar, eggs, napkins"
Trans12,"ink, pen, eggs, milk"
Trans13,"juice, milk, eggs, pen, bag, napkins, cheese"
Trans14,"bread, milk, eggs, sugar, ink"
Trans15,"bag, pen"
Trans16,"sugar, cheese, juice, eggs, milk"
Trans17,"bread, pen, bag"
Trans18,"milk, sugar, juice, cheese, napkins"
Trans19,"bag, milk"
Trans20,"pen, bread, sugar, napkins"
